layer,Cout,Cin,Wout,Wf,Win,M,K,N
Yolo0,32,3,544,3,546,32,27,295936
Yolo2,64,32,272,3,274,64,288,73984
Yolo4,128,64,144,3,146,128,576,20736
Yolo5,64,128,144,1,144,64,128,20736
Yolo8,256,128,64,3,66,256,1152,4096
Yolo9,128,256,64,1,64,128,256,4096
Yolo12,512,256,32,3,34,512,2304,1024
Yolo13,256,512,32,1,32,256,512,1024
Yolo18,1024,512,16,3,18,1024,4608,256
Yolo19,512,1024,16,1,16,512,1024,256
Yolo23,1024,1024,16,1,16,1024,1024,256
Resnet1,64,3,224,7,70,64,147,12544
Resnet2,64,64,64,3,66,64,576,4096
Resnet3,64,64,64,1,64,64,64,4096
Resnet4,128,64,64,1,64,128,576,1024
Resnet5,128,64,64,1,64,128,64,1024
Resnet6,128,128,32,3,34,128,1152,1024
Resnet7,256,128,32,3,34,256,1152,256
Resnet8,256,128,32,3,34,256,1152,1024
Resnet9,256,256,16,3,18,256,2304,256
Resnet10,512,256,16,3,18,512,2304,64
Resnet11,512,256,16,3,18,512,2304,64
Resnet12,512,512,16,3,18,512,4608,256
Mobnet1,32,32,112,3,114,32,288,12544
Mobnet2,64,64,112,3,114,64,288,3136
Mobnet3,128,128,64,3,66,128,1152,4096
Mobnet4,128,128,64,3,66,128,1152,1024
Mobnet5,256,256,32,3,34,256,2304,1024
Mobnet6,256,256,32,3,34,256,2304,256
Mobnet7,512,512,16,3,18,512,4608,256
Mobnet8,512,512,16,3,18,512,4608,64
Mobnet9,1024,1024,16,3,18,1024,9216,256
